company_code,service_category,country,city,zone_code,source_file
#CR0001,domestic,LK,Hindagala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hindagolla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hingurakgoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hiripitya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hiriwadunna,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hiriyala Lenawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hiruwalpola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Horagala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Horambawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Horampella,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Horana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hulogedara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hulugalla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hunupola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ibbagamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ihala Gomugomuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ihala Kadigamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ihala Katugampala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ihala Madampella,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Imbulgoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Inamaluwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Indulgodakanda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Inguruwatta,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Iriyagolla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ithanawatta,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ittapana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Jaffna,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Jayanthipura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kadigawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kadugannawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kahangama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kahapathwala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kahatowita,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kahawala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kalagedihena,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kalawila Kiranthidiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kaluaggala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kalugamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kalutara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kamburugamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kamburupitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kanadeniyawala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kanattewewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kandalama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kandapola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kandy,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kapugoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Karagahagedara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Karambe,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Katugastota,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Katuneriya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Katupota,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kegalle,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kehelwatta,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kekirawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kekunagolla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kengalla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Keppitiwalana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kesbewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kibissa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kili Town,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kimbulwanaoya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kiribathkumbura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kirimetiyawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kirindawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kirindigalla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kirindiwela,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kiriwattuduwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kithalawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kitulhitiyawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kobeigane,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kohilagedara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Koholana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kolonnawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Konwewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kosdeniya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kosgama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kosgolla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kotadeniyawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kotawehera,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kotikawatta,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kuda Uduwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kudagalgamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kudakatnoruwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kuliyapitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kumbukgeta,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kumbukwewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kundasale,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kuratihena,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Kurunegala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Labbala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Lakshauyana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Lellopitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Lenadora,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Lonahettiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mabodale,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Madahapola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Madakumburumulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Madampe,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Madapatha,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Madatugama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Madawala Bazaar,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Madelgamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Maduragoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Maeliya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Maggona,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Magulagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Maha Elagamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mahananneriya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Maharachchimulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Makewita,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Makulewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Makulpotha,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Makulwewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Malagane,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mandapola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mannar,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Marawila,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Maspotha,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Matale,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Matara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mawanella,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mawathagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Medirigiriya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Meegalawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Meegoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Meetanwala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Meewellawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Melsiripura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Menikhinna,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Metikumbura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Metiyagane,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mihintale,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Millewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Minhettiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Minneriya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Minuwangete,C,Domestic Zone List.pdf
